"m[1]"	"m[2]"	"m[3]"	"m[4]"	"m[5]"	"c[1]"	"c[2]"	"c[3]"	"c[4]"	"c[5]"	"tau_norm"	"mu_m"	"mu_c"	"tau_m"	"tau_c"	"probdiff"	"m_pred"	"c_pred"	"lp__"
1.36755968038033	1.15038035479447	1.19831359009758	1.1108242599542	1.15853724829766	-0.316165186634086	-0.169559259024055	-0.0762822675843413	-0.156386819610674	-0.164865341680726	59.7350068513586	1.2325168510149	-0.310015400763057	61.8530485811078	37.771025533621	0.204056564143739	1.33470088134683	-0.332204611235103	1573.6047996275
1.39307521475526	1.17249352078051	1.1911744649087	1.15093101062923	1.14146732534624	-0.343580663686384	-0.189596055878747	-0.0763160176108428	-0.163821993788368	-0.13988961132691	58.6255053564213	1.27667516322676	-0.18451349224386	59.5937242432717	41.6957573712286	0.193933704130207	1.37835170153354	-0.195377499725432	1575.47956764579
1.3671529940361	1.19277551423847	1.28392844795525	1.00305517810818	1.21608156091997	-0.291714013325524	-0.203935120474553	-0.126153741716151	-0.0312487475555833	-0.239217119715873	59.0531433842178	1.147691657262	-0.179824428384133	43.6488768712113	63.8846552270229	0.137130621100767	1.22719233014614	-0.289141310344962	1573.06185318004
1.35328940441268	1.20945705111263	1.29494380427316	1.050345460688	1.19011118933787	-0.283506869840923	-0.208340337148025	-0.12720338828284	-0.0962100815849862	-0.202039295478664	56.589914445699	1.26807517759681	-0.170190085248621	50.386919320189	51.7923444934282	0.179919759326927	1.33976018592758	0.0299699168166145	1581.75992671427
1.41304598102556	1.14311282456787	1.22698392737235	1.07833302327004	1.17885763921158	-0.350556983607851	-0.173000842785253	-0.0934864936600244	-0.120487064805943	-0.185115477548939	61.0830723757561	1.18003515828124	-0.182794582126903	47.8361879880927	50.4698787422701	0.154578552832639	1.25344985319254	-0.12131424236095	1582.81132736037
1.36032453377249	1.20238014471841	1.32047038139657	1.1705083058648	1.18658428763458	-0.291630633228417	-0.201546642089909	-0.144160566053884	-0.189701372951763	-0.199226118284154	59.3544389738974	1.12862472050247	-0.262827403575516	40.4275598099098	59.8793472492832	0.15680259519254	1.25947461391984	-0.202882206807625	1576.4404102357
1.36470510562371	1.23162495297465	1.32458041212529	1.1605277934185	1.17993376356534	-0.293852903450378	-0.203515605039346	-0.138302165293652	-0.184147801052036	-0.188540108509847	59.8321171381761	1.13611790792586	-0.264638015627522	39.413506471015	62.1479391838344	0.158088284530942	1.26871537488657	-0.2946885138849	1573.5569096763
1.39602733423855	1.11736216862493	1.18424724542809	1.02223921898453	1.18017538409224	-0.33137848170101	-0.156106966909714	-0.069702614180638	-0.0547172182958302	-0.191261272617533	60.332940341998	1.12366616478245	-0.128881569308824	41.7333171826503	53.707892676539	0.157699968559983	1.22009088813768	-0.0339341784797728	1579.05469991016
1.36534304149988	1.18555801239621	1.26294531632096	1.15185347050342	1.18788138093682	-0.285051200354627	-0.187586750051652	-0.108269637614985	-0.168680851719543	-0.200227030684846	57.188537523038	1.27954255244768	-0.205709969544435	59.2989849117125	45.5136384942557	0.178065992638314	1.38780581998985	-0.101110608744434	1579.71240502236
1.36639023433025	1.17467568456204	1.26806875036457	1.144765593242	1.19027062292129	-0.301164365843689	-0.183831322879385	-0.110814424229259	-0.17668837485822	-0.21042602359264	57.466029234629	1.28650394240703	-0.195379976636163	57.6705412101359	44.6951163833685	0.176029066097932	1.39532931357417	-0.194009100302302	1581.14858286148
1.39486218375228	1.14995851568883	1.23545544240488	1.03887458338698	1.17226594745845	-0.341339267637164	-0.184736179140935	-0.102783470294976	-0.0640929098233948	-0.176867550426338	61.4328765025416	1.18779345127102	-0.23252356669109	42.5852787166331	55.0771863723339	0.178869816086031	1.31410182804995	-0.124481238080856	1578.31217668881
1.38845462904454	1.18491827984013	1.25561350877472	1.14221473379666	1.16873532538506	-0.306977120435547	-0.207915929942706	-0.111599225257461	-0.148624367473794	-0.184415996664314	59.4884786234098	1.21403947178351	-0.128153460783402	54.6500368382519	49.2641896052552	0.157204980575563	1.31750671511304	-0.170728720222839	1577.35914405865
1.37257528968066	1.17163778567756	1.24404428857767	1.1406372112678	1.20264467861067	-0.322695897658582	-0.195585199036495	-0.111597605082688	-0.148581081299464	-0.213340347669705	60.0518382256951	1.19907825920805	-0.224968309118768	43.1917197624855	60.1755730700995	0.146682282035634	1.32101355697669	-0.336037346938384	1576.36062251087
1.37871458399846	1.18335832195744	1.2065648869444	1.16448495710023	1.17246905995825	-0.300568167551238	-0.199542592258973	-0.0892671758277147	-0.168296005181095	-0.180625060558372	60.8956651430595	1.2662875126524	-0.234363693613316	35.7860569356125	54.0306881754441	0.202892991630857	1.39372648378233	-0.374808199465996	1573.30359292626
1.40889173065099	1.21339690090829	1.20760393869312	1.08352662557832	1.15931286108564	-0.336154949010385	-0.201831421223306	-0.0749990251577059	-0.116826251864972	-0.167048762218732	55.9893280428479	1.24914686560102	-0.250428178960501	47.6207047025316	62.1203445714857	0.191648607805112	1.33803975676388	-0.230682793200816	1577.4698991038
1.4055673580777	1.11028793426554	1.2894386739393	1.16253114552838	1.18512781174947	-0.355458019858047	-0.167199819338958	-0.125506822857976	-0.188445142795131	-0.193089434903361	61.2883422950837	1.22109566189053	-0.182821238619018	46.7853987138477	41.428315233523	0.1412197180111	1.32673555676339	-0.211434411220742	1575.29601706692
1.40319381550481	1.11719552674447	1.21300512148278	1.07913190638351	1.15093458456164	-0.34680830294216	-0.166351384609678	-0.0852096633825725	-0.110683751038965	-0.166508721561316	56.1639739737097	1.19769532084431	-0.21082643174412	47.2766376331328	47.2681991847486	0.175171278122167	1.31112488018371	0.02971833903159	1579.66384486096
1.33707904094658	1.20390376754487	1.26642976450323	1.06336808022796	1.19731976959156	-0.271242802013602	-0.183540820784506	-0.10591825924229	-0.1091461653184	-0.208568171296404	61.1727261303525	1.26320338064935	-0.218110747320373	51.7025530555572	51.1241598937627	0.195175634297143	1.34168586445599	-0.0193376142912402	1576.8669547988
1.39812965082918	1.15871832716044	1.26387371253901	1.07808812449128	1.19273944899516	-0.356514389190244	-0.165299969768921	-0.114120110586556	-0.105766287391264	-0.212557666862462	55.8847782581564	1.16241433716417	-0.15768567322755	49.5954952999313	53.3948720689995	0.145212347673141	1.25655785107943	-0.0653801322479711	1576.2770154545
1.42646274233153	1.09673600628651	1.24691886482394	1.05571927809909	1.17845086508884	-0.370713537176734	-0.162876874692758	-0.0953535816168375	-0.105701426491244	-0.196241868770507	57.2887171609956	1.19421605769147	-0.216492857156304	52.2687021122318	53.0496952873422	0.161420057804168	1.30539039039514	-0.254643803893008	1579.11283149481
1.41803533289096	1.15236886025577	1.27092698673636	1.08098016230144	1.17702659416802	-0.365624291061577	-0.157022672900104	-0.12278274843414	-0.110802976835633	-0.19704156829572	54.4243535981476	1.2475928999053	-0.169642591617967	47.0860630431488	59.3945353767695	0.17512519148592	1.36728949192273	-0.131921695489588	1575.00912158783
1.40073769359225	1.188852664762	1.19475016304611	1.08396586893577	1.15412058787528	-0.333735728221038	-0.204553346660316	-0.0725837299948668	-0.103962064656399	-0.16376081051332	63.9134996490973	1.25215634277327	-0.178410425481609	37.3892700212076	40.9783172308117	0.156687739350611	1.38866383122512	0.0273741321012963	1573.90153053962
1.3882649798472	1.14931741499519	1.23473616829958	1.10855873099198	1.20101997444649	-0.322499858179805	-0.181426440484363	-0.0857028351885789	-0.133767084409846	-0.219566367971324	59.915518337539	1.18782071575039	-0.237867429704337	41.9336980845643	42.4087074547915	0.168038956116214	1.29981623989777	-0.279782164288549	1580.7275725265
1.42462727640406	1.20446082403172	1.23266818281021	1.13580777473174	1.24252804494665	-0.366811940049948	-0.208921095157889	-0.0869511481937303	-0.157066817059079	-0.255733558134747	59.4959069505872	1.27181382404652	-0.146332716685346	58.1716483444724	48.7006748118008	0.136437057627866	1.33877284053515	-0.0740739652933856	1572.83957012557
1.32861033398382	1.1887810361264	1.23342563543339	1.12010992168385	1.1681527931513	-0.25957280975018	-0.193075752106688	-0.0933446346617316	-0.143698834721086	-0.1853843687728	58.0144891133353	1.15707255955023	-0.240685480628118	45.8984002671859	53.6658352721406	0.207001632584377	1.27538098130065	-0.30918650296743	1578.75912190666
